# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-11-06 22:01:11 EST       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 50026140 LAGO CAONILLAS AT DAMSITE NR UTUADO, PR
# -----------------------------------------------------------------------------------
#
# Data provided for site 50026140
#            TS   parameter     Description
#        123894       62614     Lake or reservoir water surface elevation above NGVD 1929, feet
#        123895       62616     Lake or reservoir water surface elevation above NGVD 1929, meters
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	tz_cd	123894_62614	123894_62614_cd	123895_62616	123895_62616_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	50026140	2017-11-05 00:00	AST	826.46	P	251.905	P
USGS	50026140	2017-11-05 00:15	AST	826.46	P	251.905	P
USGS	50026140	2017-11-05 00:30	AST	826.45	P	251.902	P
USGS	50026140	2017-11-05 00:45	AST	826.44	P	251.899	P
USGS	50026140	2017-11-05 01:00	AST	826.45	P	251.902	P
USGS	50026140	2017-11-05 01:15	AST	826.46	P	251.905	P
USGS	50026140	2017-11-05 01:30	AST	826.45	P	251.902	P
USGS	50026140	2017-11-05 01:45	AST	826.45	P	251.902	P
USGS	50026140	2017-11-05 02:00	AST	826.45	P	251.902	P
USGS	50026140	2017-11-05 02:15	AST	826.45	P	251.902	P
USGS	50026140	2017-11-05 02:30	AST	826.45	P	251.902	P
USGS	50026140	2017-11-05 02:45	AST	826.43	P	251.896	P
USGS	50026140	2017-11-05 03:00	AST	826.43	P	251.896	P
USGS	50026140	2017-11-05 03:15	AST	826.43	P	251.896	P
USGS	50026140	2017-11-05 03:30	AST	826.43	P	251.896	P
USGS	50026140	2017-11-05 03:45	AST	826.43	P	251.896	P
USGS	50026140	2017-11-05 04:00	AST	826.43	P	251.896	P
USGS	50026140	2017-11-05 04:15	AST	826.42	P	251.893	P
USGS	50026140	2017-11-05 04:30	AST	826.36	P	251.875	P
USGS	50026140	2017-11-05 04:45	AST	826.40	P	251.887	P
USGS	50026140	2017-11-05 05:00	AST	826.42	P	251.893	P
USGS	50026140	2017-11-05 05:15	AST	826.40	P	251.887	P
USGS	50026140	2017-11-05 05:30	AST	826.40	P	251.887	P
USGS	50026140	2017-11-05 05:45	AST	826.40	P	251.887	P
USGS	50026140	2017-11-05 06:00	AST	826.39	P	251.884	P
USGS	50026140	2017-11-05 06:15	AST	826.38	P	251.881	P
USGS	50026140	2017-11-05 06:30	AST	826.39	P	251.884	P
USGS	50026140	2017-11-05 06:45	AST	826.37	P	251.878	P
USGS	50026140	2017-11-05 07:00	AST	826.38	P	251.881	P
USGS	50026140	2017-11-05 07:15	AST	826.35	P	251.871	P
USGS	50026140	2017-11-05 07:30	AST	826.37	P	251.878	P
USGS	50026140	2017-11-05 07:45	AST	826.35	P	251.871	P
USGS	50026140	2017-11-05 08:00	AST	826.36	P	251.875	P
USGS	50026140	2017-11-05 08:15	AST	826.35	P	251.871	P
USGS	50026140	2017-11-05 08:30	AST	826.35	P	251.871	P
USGS	50026140	2017-11-05 08:45	AST	826.34	P	251.868	P
USGS	50026140	2017-11-05 09:00	AST	826.36	P	251.875	P
USGS	50026140	2017-11-05 09:15	AST	826.36	P	251.875	P
USGS	50026140	2017-11-05 09:30	AST	826.33	P	251.865	P
USGS	50026140	2017-11-05 09:45	AST	826.33	P	251.865	P
USGS	50026140	2017-11-05 10:00	AST	826.33	P	251.865	P
USGS	50026140	2017-11-05 10:15	AST	826.33	P	251.865	P
USGS	50026140	2017-11-05 10:30	AST	826.32	P	251.862	P
USGS	50026140	2017-11-05 10:45	AST	826.29	P	251.853	P
USGS	50026140	2017-11-05 11:00	AST	826.32	P	251.862	P
USGS	50026140	2017-11-05 11:15	AST	826.22	P	251.832	P
USGS	50026140	2017-11-05 11:30	AST	826.28	P	251.850	P
USGS	50026140	2017-11-05 11:45	AST	826.29	P	251.853	P
USGS	50026140	2017-11-05 12:00	AST	826.25	P	251.841	P
USGS	50026140	2017-11-05 12:15	AST	826.30	P	251.856	P
USGS	50026140	2017-11-05 12:30	AST	826.23	P	251.835	P
USGS	50026140	2017-11-05 12:45	AST	826.31	P	251.859	P
USGS	50026140	2017-11-05 13:00	AST	826.33	P	251.865	P
USGS	50026140	2017-11-05 13:15	AST	826.35	P	251.871	P
USGS	50026140	2017-11-05 13:30	AST	826.36	P	251.875	P
USGS	50026140	2017-11-05 13:45	AST	826.36	P	251.875	P
USGS	50026140	2017-11-05 14:00	AST	826.33	P	251.865	P
USGS	50026140	2017-11-05 14:15	AST	826.27	P	251.847	P
USGS	50026140	2017-11-05 14:30	AST	826.26	P	251.844	P
USGS	50026140	2017-11-05 14:45	AST	826.27	P	251.847	P
USGS	50026140	2017-11-05 15:00	AST	826.24	P	251.838	P
USGS	50026140	2017-11-05 15:02	AST	826.24	P	251.838	P
USGS	50026140	2017-11-05 15:15	AST	826.23	P	251.835	P
USGS	50026140	2017-11-05 15:30	AST	826.33	P	251.865	P
USGS	50026140	2017-11-05 15:45	AST	826.36	P	251.875	P
USGS	50026140	2017-11-05 16:00	AST	826.34	P	251.868	P
USGS	50026140	2017-11-05 16:15	AST	826.34	P	251.868	P
USGS	50026140	2017-11-05 16:30	AST	826.35	P	251.871	P
USGS	50026140	2017-11-05 16:45	AST	826.34	P	251.868	P
USGS	50026140	2017-11-05 17:00	AST	826.34	P	251.868	P
USGS	50026140	2017-11-05 17:15	AST	826.35	P	251.871	P
USGS	50026140	2017-11-05 17:30	AST	826.34	P	251.868	P
USGS	50026140	2017-11-05 17:45	AST	826.34	P	251.868	P
USGS	50026140	2017-11-05 18:00	AST	826.34	P	251.868	P
USGS	50026140	2017-11-05 18:15	AST	826.34	P	251.868	P
USGS	50026140	2017-11-05 18:30	AST	826.34	P	251.868	P
USGS	50026140	2017-11-05 18:45	AST	826.33	P	251.865	P
USGS	50026140	2017-11-05 19:00	AST	826.33	P	251.865	P
USGS	50026140	2017-11-05 19:15	AST	826.33	P	251.865	P
USGS	50026140	2017-11-05 19:30	AST	826.33	P	251.865	P
USGS	50026140	2017-11-05 19:45	AST	826.33	P	251.865	P
USGS	50026140	2017-11-05 20:00	AST	826.32	P	251.862	P
USGS	50026140	2017-11-05 20:15	AST	826.32	P	251.862	P
USGS	50026140	2017-11-05 20:30	AST	826.32	P	251.862	P
USGS	50026140	2017-11-05 20:45	AST	826.32	P	251.862	P
USGS	50026140	2017-11-05 21:00	AST	826.32	P	251.862	P
USGS	50026140	2017-11-05 21:15	AST	826.32	P	251.862	P
USGS	50026140	2017-11-05 21:30	AST	826.32	P	251.862	P
USGS	50026140	2017-11-05 21:45	AST	826.32	P	251.862	P
USGS	50026140	2017-11-05 22:00	AST	826.32	P	251.862	P
