# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-11-06 21:41:48 EST       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 50045000 LAGO LA PLATA AT DAMSITE NR TOA ALTA, PR
# -----------------------------------------------------------------------------------
#
# Data provided for site 50045000
#            TS   parameter     Description
#        123965       62614     Lake or reservoir water surface elevation above NGVD 1929, feet
#        123967       62616     Lake or reservoir water surface elevation above NGVD 1929, meters
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	tz_cd	123965_62614	123965_62614_cd	123967_62616	123967_62616_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	50045000	2017-11-05 00:00	AST	163.41	P	49.807	P
USGS	50045000	2017-11-05 00:15	AST	163.41	P	49.807	P
USGS	50045000	2017-11-05 00:30	AST	163.41	P	49.807	P
USGS	50045000	2017-11-05 00:45	AST	163.41	P	49.807	P
USGS	50045000	2017-11-05 01:00	AST	163.41	P	49.807	P
USGS	50045000	2017-11-05 01:15	AST	163.41	P	49.807	P
USGS	50045000	2017-11-05 01:30	AST	163.41	P	49.807	P
USGS	50045000	2017-11-05 01:45	AST	163.40	P	49.804	P
USGS	50045000	2017-11-05 02:00	AST	163.41	P	49.807	P
USGS	50045000	2017-11-05 02:15	AST	163.40	P	49.804	P
USGS	50045000	2017-11-05 02:30	AST	163.40	P	49.804	P
USGS	50045000	2017-11-05 02:45	AST	163.40	P	49.804	P
USGS	50045000	2017-11-05 03:00	AST	163.41	P	49.807	P
USGS	50045000	2017-11-05 03:15	AST	163.40	P	49.804	P
USGS	50045000	2017-11-05 03:30	AST	163.40	P	49.804	P
USGS	50045000	2017-11-05 03:45	AST	163.40	P	49.804	P
USGS	50045000	2017-11-05 04:00	AST	163.41	P	49.807	P
USGS	50045000	2017-11-05 04:15	AST	163.40	P	49.804	P
USGS	50045000	2017-11-05 04:30	AST	163.40	P	49.804	P
USGS	50045000	2017-11-05 04:45	AST	163.40	P	49.804	P
USGS	50045000	2017-11-05 05:00	AST	163.40	P	49.804	P
USGS	50045000	2017-11-05 05:15	AST	163.40	P	49.804	P
USGS	50045000	2017-11-05 05:30	AST	163.40	P	49.804	P
USGS	50045000	2017-11-05 05:45	AST	163.41	P	49.807	P
USGS	50045000	2017-11-05 06:00	AST	163.41	P	49.807	P
USGS	50045000	2017-11-05 06:15	AST	163.41	P	49.807	P
USGS	50045000	2017-11-05 06:30	AST	163.41	P	49.807	P
USGS	50045000	2017-11-05 06:45	AST	163.41	P	49.807	P
USGS	50045000	2017-11-05 07:00	AST	163.40	P	49.804	P
USGS	50045000	2017-11-05 07:15	AST	163.41	P	49.807	P
USGS	50045000	2017-11-05 07:30	AST	163.41	P	49.807	P
USGS	50045000	2017-11-05 07:45	AST	163.41	P	49.807	P
USGS	50045000	2017-11-05 08:00	AST	163.41	P	49.807	P
