# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-11-06 21:57:25 EST       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 50047550 LAGO DE CIDRA AT DAMSITE NR CIDRA, PR
# -----------------------------------------------------------------------------------
#
# Data provided for site 50047550
#            TS   parameter     Description
#        123978       00045     Precipitation, total, inches
#        123979       62614     Lake or reservoir water surface elevation above NGVD 1929, feet
#        123980       62616     Lake or reservoir water surface elevation above NGVD 1929, meters
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	tz_cd	123978_00045	123978_00045_cd	123979_62614	123979_62614_cd	123980_62616	123980_62616_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s
USGS	50047550	2017-11-05 00:00	AST	0.00	P	1322.27	P	403.028	P
USGS	50047550	2017-11-05 00:15	AST	0.00	P	1322.27	P	403.028	P
USGS	50047550	2017-11-05 00:30	AST	0.00	P	1322.28	P	403.031	P
USGS	50047550	2017-11-05 00:45	AST	0.00	P	1322.27	P	403.028	P
USGS	50047550	2017-11-05 01:00	AST	0.00	P	1322.27	P	403.028	P
USGS	50047550	2017-11-05 01:15	AST	0.00	P	1322.27	P	403.028	P
USGS	50047550	2017-11-05 01:30	AST	0.00	P	1322.27	P	403.028	P
USGS	50047550	2017-11-05 01:45	AST	0.00	P	1322.28	P	403.031	P
USGS	50047550	2017-11-05 02:00	AST	0.00	P	1322.28	P	403.031	P
USGS	50047550	2017-11-05 02:15	AST	0.00	P	1322.28	P	403.031	P
USGS	50047550	2017-11-05 02:30	AST	0.00	P	1322.28	P	403.031	P
USGS	50047550	2017-11-05 02:45	AST	0.00	P	1322.28	P	403.031	P
USGS	50047550	2017-11-05 03:00	AST	0.00	P	1322.28	P	403.031	P
