# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-11-06 21:52:22 EST       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 50071225 LAGO FAJARDO NEAR VAPOR, PR
# -----------------------------------------------------------------------------------
#
# Data provided for site 50071225
#            TS   parameter     Description
#        124079       62614     Lake or reservoir water surface elevation above NGVD 1929, feet
#        124080       62616     Lake or reservoir water surface elevation above NGVD 1929, meters
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	tz_cd	124079_62614	124079_62614_cd	124080_62616	124080_62616_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	50071225	2017-11-05 00:00	AST	170.88	P	52.084	P
USGS	50071225	2017-11-05 00:15	AST	170.88	P	52.084	P
USGS	50071225	2017-11-05 00:30	AST	170.88	P	52.084	P
USGS	50071225	2017-11-05 00:45	AST	170.88	P	52.084	P
USGS	50071225	2017-11-05 01:00	AST	170.89	P	52.087	P
USGS	50071225	2017-11-05 01:15	AST	170.89	P	52.087	P
USGS	50071225	2017-11-05 01:30	AST	170.88	P	52.084	P
USGS	50071225	2017-11-05 01:45	AST	170.89	P	52.087	P
USGS	50071225	2017-11-05 02:00	AST	170.90	P	52.090	P
USGS	50071225	2017-11-05 02:15	AST	170.90	P	52.090	P
USGS	50071225	2017-11-05 02:30	AST	170.91	P	52.093	P
USGS	50071225	2017-11-05 02:45	AST	170.91	P	52.093	P
USGS	50071225	2017-11-05 03:00	AST	170.91	P	52.093	P
USGS	50071225	2017-11-05 03:15	AST	170.92	P	52.096	P
USGS	50071225	2017-11-05 03:30	AST	170.93	P	52.099	P
USGS	50071225	2017-11-05 03:45	AST	170.92	P	52.096	P
USGS	50071225	2017-11-05 04:00	AST	170.92	P	52.096	P
USGS	50071225	2017-11-05 04:15	AST	170.93	P	52.099	P
USGS	50071225	2017-11-05 04:30	AST	170.93	P	52.099	P
USGS	50071225	2017-11-05 04:45	AST	170.93	P	52.099	P
USGS	50071225	2017-11-05 05:00	AST	170.94	P	52.103	P
USGS	50071225	2017-11-05 05:15	AST	170.95	P	52.106	P
USGS	50071225	2017-11-05 05:30	AST	170.95	P	52.106	P
USGS	50071225	2017-11-05 05:45	AST	170.96	P	52.109	P
USGS	50071225	2017-11-05 06:00	AST	170.97	P	52.112	P
USGS	50071225	2017-11-05 06:15	AST	170.98	P	52.115	P
USGS	50071225	2017-11-05 06:30	AST	170.98	P	52.115	P
USGS	50071225	2017-11-05 06:45	AST	170.98	P	52.115	P
USGS	50071225	2017-11-05 07:00	AST	170.97	P	52.112	P
USGS	50071225	2017-11-05 07:15	AST	170.98	P	52.115	P
USGS	50071225	2017-11-05 07:30	AST	170.98	P	52.115	P
USGS	50071225	2017-11-05 07:45	AST	170.98	P	52.115	P
USGS	50071225	2017-11-05 07:47	AST	170.97	P	52.112	P
USGS	50071225	2017-11-05 08:00	AST	170.98	P	52.115	P
USGS	50071225	2017-11-05 08:15	AST	170.99	P	52.118	P
USGS	50071225	2017-11-05 08:30	AST	170.98	P	52.115	P
USGS	50071225	2017-11-05 08:45	AST	171.00	P	52.121	P
USGS	50071225	2017-11-05 09:00	AST	170.99	P	52.118	P
USGS	50071225	2017-11-05 09:15	AST	171.01	P	52.124	P
USGS	50071225	2017-11-05 09:30	AST	171.00	P	52.121	P
USGS	50071225	2017-11-05 09:45	AST	170.99	P	52.118	P
USGS	50071225	2017-11-05 10:00	AST	171.01	P	52.124	P
USGS	50071225	2017-11-05 10:15	AST	171.03	P	52.130	P
USGS	50071225	2017-11-05 10:30	AST	171.03	P	52.130	P
USGS	50071225	2017-11-05 10:45	AST	171.02	P	52.127	P
USGS	50071225	2017-11-05 11:00	AST	171.04	P	52.133	P
USGS	50071225	2017-11-05 11:15	AST	171.04	P	52.133	P
USGS	50071225	2017-11-05 11:30	AST	171.06	P	52.139	P
USGS	50071225	2017-11-05 11:45	AST	171.06	P	52.139	P
USGS	50071225	2017-11-05 12:00	AST	171.05	P	52.136	P
USGS	50071225	2017-11-05 12:15	AST	171.08	P	52.145	P
USGS	50071225	2017-11-05 12:30	AST	171.09	P	52.148	P
USGS	50071225	2017-11-05 12:45	AST	171.10	P	52.151	P
USGS	50071225	2017-11-05 13:00	AST	171.11	P	52.154	P
USGS	50071225	2017-11-05 13:15	AST	171.13	P	52.160	P
USGS	50071225	2017-11-05 13:30	AST	171.13	P	52.160	P
USGS	50071225	2017-11-05 13:45	AST	171.13	P	52.160	P
USGS	50071225	2017-11-05 14:00	AST	171.14	P	52.163	P
USGS	50071225	2017-11-05 14:15	AST	171.15	P	52.167	P
USGS	50071225	2017-11-05 14:30	AST	171.17	P	52.173	P
USGS	50071225	2017-11-05 14:45	AST	171.18	P	52.176	P
USGS	50071225	2017-11-05 15:00	AST	171.19	P	52.179	P
USGS	50071225	2017-11-05 15:15	AST	171.20	P	52.182	P
USGS	50071225	2017-11-05 15:30	AST	171.22	P	52.188	P
USGS	50071225	2017-11-05 15:45	AST	171.23	P	52.191	P
USGS	50071225	2017-11-05 15:48	AST	171.22	P	52.188	P
USGS	50071225	2017-11-05 16:00	AST	171.23	P	52.191	P
USGS	50071225	2017-11-05 16:15	AST	171.24	P	52.194	P
USGS	50071225	2017-11-05 16:30	AST	171.23	P	52.191	P
USGS	50071225	2017-11-05 16:45	AST	171.27	P	52.203	P
USGS	50071225	2017-11-05 17:00	AST	171.27	P	52.203	P
USGS	50071225	2017-11-05 17:15	AST	171.29	P	52.209	P
USGS	50071225	2017-11-05 17:30	AST	171.31	P	52.215	P
USGS	50071225	2017-11-05 17:45	AST	171.30	P	52.212	P
USGS	50071225	2017-11-05 18:00	AST	171.34	P	52.224	P
USGS	50071225	2017-11-05 18:15	AST	171.35	P	52.227	P
USGS	50071225	2017-11-05 18:30	AST	171.36	P	52.231	P
USGS	50071225	2017-11-05 18:45	AST	171.37	P	52.234	P
USGS	50071225	2017-11-05 19:00	AST	171.39	P	52.240	P
USGS	50071225	2017-11-05 19:15	AST	171.40	P	52.243	P
USGS	50071225	2017-11-05 19:30	AST	171.41	P	52.246	P
USGS	50071225	2017-11-05 19:45	AST	171.42	P	52.249	P
USGS	50071225	2017-11-05 20:00	AST	171.43	P	52.252	P
USGS	50071225	2017-11-05 20:15	AST	171.44	P	52.255	P
USGS	50071225	2017-11-05 20:30	AST	171.45	P	52.258	P
USGS	50071225	2017-11-05 20:45	AST	171.46	P	52.261	P
USGS	50071225	2017-11-05 21:00	AST	171.47	P	52.264	P
USGS	50071225	2017-11-05 21:15	AST	171.48	P	52.267	P
USGS	50071225	2017-11-05 21:30	AST	171.49	P	52.270	P
USGS	50071225	2017-11-05 21:45	AST	171.50	P	52.273	P
USGS	50071225	2017-11-05 22:00	AST	171.51	P	52.276	P
USGS	50071225	2017-11-05 22:15	AST	171.52	P	52.279	P
USGS	50071225	2017-11-05 22:30	AST	171.53	P	52.282	P
USGS	50071225	2017-11-05 22:45	AST	171.54	P	52.285	P
USGS	50071225	2017-11-05 23:00	AST	171.55	P	52.288	P
USGS	50071225	2017-11-05 23:15	AST	171.56	P	52.291	P
USGS	50071225	2017-11-05 23:30	AST	171.57	P	52.295	P
USGS	50071225	2017-11-05 23:45	AST	171.58	P	52.298	P
USGS	50071225	2017-11-05 23:50	AST	171.57	P	52.295	P
USGS	50071225	2017-11-06 00:00	AST	171.59	P	52.301	P
USGS	50071225	2017-11-06 00:15	AST	171.60	P	52.304	P
USGS	50071225	2017-11-06 00:30	AST	171.60	P	52.304	P
USGS	50071225	2017-11-06 00:45	AST	171.61	P	52.307	P
USGS	50071225	2017-11-06 01:00	AST	171.62	P	52.310	P
USGS	50071225	2017-11-06 01:15	AST	171.63	P	52.313	P
USGS	50071225	2017-11-06 01:30	AST	171.65	P	52.319	P
USGS	50071225	2017-11-06 01:45	AST	171.65	P	52.319	P
USGS	50071225	2017-11-06 02:00	AST	171.65	P	52.319	P
USGS	50071225	2017-11-06 02:15	AST	171.66	P	52.322	P
USGS	50071225	2017-11-06 02:30	AST	171.68	P	52.328	P
USGS	50071225	2017-11-06 02:45	AST	171.69	P	52.331	P
USGS	50071225	2017-11-06 03:00	AST	171.70	P	52.334	P
USGS	50071225	2017-11-06 03:15	AST	171.71	P	52.337	P
USGS	50071225	2017-11-06 03:30	AST	171.72	P	52.340	P
USGS	50071225	2017-11-06 03:45	AST	171.73	P	52.343	P
USGS	50071225	2017-11-06 04:00	AST	171.74	P	52.346	P
USGS	50071225	2017-11-06 04:15	AST	171.75	P	52.349	P
USGS	50071225	2017-11-06 04:30	AST	171.76	P	52.352	P
USGS	50071225	2017-11-06 04:45	AST	171.76	P	52.352	P
USGS	50071225	2017-11-06 05:00	AST	171.77	P	52.355	P
USGS	50071225	2017-11-06 05:15	AST	171.78	P	52.359	P
USGS	50071225	2017-11-06 05:30	AST	171.79	P	52.362	P
USGS	50071225	2017-11-06 05:45	AST	171.80	P	52.365	P
USGS	50071225	2017-11-06 06:00	AST	171.81	P	52.368	P
USGS	50071225	2017-11-06 06:15	AST	171.80	P	52.365	P
USGS	50071225	2017-11-06 06:30	AST	171.81	P	52.368	P
USGS	50071225	2017-11-06 06:45	AST	171.83	P	52.374	P
USGS	50071225	2017-11-06 07:00	AST	171.84	P	52.377	P
USGS	50071225	2017-11-06 07:15	AST	171.86	P	52.383	P
USGS	50071225	2017-11-06 07:30	AST	171.88	P	52.389	P
USGS	50071225	2017-11-06 07:45	AST	171.88	P	52.389	P
USGS	50071225	2017-11-06 07:51	AST	171.88	P	52.389	P
USGS	50071225	2017-11-06 08:00	AST	171.89	P	52.392	P
USGS	50071225	2017-11-06 08:15	AST	171.90	P	52.395	P
USGS	50071225	2017-11-06 08:30	AST	171.92	P	52.401	P
USGS	50071225	2017-11-06 08:45	AST	171.92	P	52.401	P
USGS	50071225	2017-11-06 09:00	AST	171.93	P	52.404	P
USGS	50071225	2017-11-06 09:15	AST	171.95	P	52.410	P
USGS	50071225	2017-11-06 09:30	AST	171.96	P	52.413	P
USGS	50071225	2017-11-06 09:45	AST	171.96	P	52.413	P
USGS	50071225	2017-11-06 10:00	AST	171.96	P	52.413	P
USGS	50071225	2017-11-06 10:15	AST	171.97	P	52.416	P
USGS	50071225	2017-11-06 10:30	AST	171.97	P	52.416	P
USGS	50071225	2017-11-06 10:45	AST	171.99	P	52.423	P
USGS	50071225	2017-11-06 11:00	AST	171.99	P	52.423	P
USGS	50071225	2017-11-06 11:15	AST	171.99	P	52.423	P
USGS	50071225	2017-11-06 11:30	AST	172.01	P	52.429	P
USGS	50071225	2017-11-06 11:45	AST	172.01	P	52.429	P
USGS	50071225	2017-11-06 12:00	AST	172.02	P	52.432	P
USGS	50071225	2017-11-06 12:15	AST	172.03	P	52.435	P
USGS	50071225	2017-11-06 12:30	AST	172.04	P	52.438	P
USGS	50071225	2017-11-06 12:45	AST	172.06	P	52.444	P
USGS	50071225	2017-11-06 13:00	AST	172.05	P	52.441	P
USGS	50071225	2017-11-06 13:15	AST	172.06	P	52.444	P
USGS	50071225	2017-11-06 13:30	AST	172.07	P	52.447	P
USGS	50071225	2017-11-06 13:45	AST	172.06	P	52.444	P
USGS	50071225	2017-11-06 14:00	AST	172.08	P	52.450	P
USGS	50071225	2017-11-06 14:15	AST	172.09	P	52.453	P
USGS	50071225	2017-11-06 14:30	AST	172.10	P	52.456	P
USGS	50071225	2017-11-06 14:45	AST	172.10	P	52.456	P
USGS	50071225	2017-11-06 15:00	AST	172.12	P	52.462	P
USGS	50071225	2017-11-06 15:15	AST	172.12	P	52.462	P
USGS	50071225	2017-11-06 15:30	AST	172.14	P	52.468	P
USGS	50071225	2017-11-06 15:45	AST	172.15	P	52.471	P
USGS	50071225	2017-11-06 15:53	AST	172.14	P	52.468	P
USGS	50071225	2017-11-06 16:00	AST	172.16	P	52.474	P
USGS	50071225	2017-11-06 16:15	AST	172.17	P	52.477	P
USGS	50071225	2017-11-06 16:30	AST	172.18	P	52.480	P
USGS	50071225	2017-11-06 16:45	AST	172.20	P	52.487	P
USGS	50071225	2017-11-06 17:00	AST	172.21	P	52.490	P
USGS	50071225	2017-11-06 17:15	AST	172.22	P	52.493	P
USGS	50071225	2017-11-06 17:30	AST	172.22	P	52.493	P
USGS	50071225	2017-11-06 17:45	AST	172.24	P	52.499	P
USGS	50071225	2017-11-06 18:00	AST	172.25	P	52.502	P
USGS	50071225	2017-11-06 18:15	AST	172.25	P	52.502	P
USGS	50071225	2017-11-06 18:30	AST	172.26	P	52.505	P
USGS	50071225	2017-11-06 18:45	AST	172.27	P	52.508	P
USGS	50071225	2017-11-06 19:00	AST	172.30	P	52.517	P
USGS	50071225	2017-11-06 19:15	AST	172.30	P	52.517	P
USGS	50071225	2017-11-06 19:30	AST	172.31	P	52.520	P
USGS	50071225	2017-11-06 19:45	AST	172.32	P	52.523	P
USGS	50071225	2017-11-06 20:00	AST	172.33	P	52.526	P
USGS	50071225	2017-11-06 20:15	AST	172.34	P	52.529	P
USGS	50071225	2017-11-06 20:30	AST	172.35	P	52.532	P
USGS	50071225	2017-11-06 20:45	AST	172.35	P	52.532	P
USGS	50071225	2017-11-06 21:00	AST	172.35	P	52.532	P
USGS	50071225	2017-11-06 21:15	AST	172.37	P	52.538	P
USGS	50071225	2017-11-06 21:30	AST	172.35	P	52.532	P
USGS	50071225	2017-11-06 21:45	AST	172.38	P	52.541	P
USGS	50071225	2017-11-06 22:00	AST	172.37	P	52.538	P
USGS	50071225	2017-11-06 22:15	AST	172.39	P	52.544	P
USGS	50071225	2017-11-06 22:30	AST	172.40	P	52.548	P
