# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-11-06 22:00:44 EST       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 50076800 LAGO BLANCO NEAR NAGUABO, PR
# -----------------------------------------------------------------------------------
#
# Data provided for site 50076800
#            TS   parameter     Description
#        124099       62614     Lake or reservoir water surface elevation above NGVD 1929, feet
#        124100       62616     Lake or reservoir water surface elevation above NGVD 1929, meters
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	tz_cd	124099_62614	124099_62614_cd	124100_62616	124100_62616_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	50076800	2017-11-05 00:00	AST	93.83	P	28.599	P
USGS	50076800	2017-11-05 00:15	AST	93.83	P	28.599	P
USGS	50076800	2017-11-05 00:30	AST	93.82	P	28.596	P
USGS	50076800	2017-11-05 00:45	AST	93.83	P	28.599	P
USGS	50076800	2017-11-05 01:00	AST	93.83	P	28.599	P
USGS	50076800	2017-11-05 01:15	AST	93.85	P	28.605	P
USGS	50076800	2017-11-05 01:30	AST	93.85	P	28.605	P
USGS	50076800	2017-11-05 01:45	AST	93.84	P	28.602	P
USGS	50076800	2017-11-05 02:00	AST	93.84	P	28.602	P
USGS	50076800	2017-11-05 02:15	AST	93.87	P	28.612	P
USGS	50076800	2017-11-05 02:30	AST	93.86	P	28.609	P
USGS	50076800	2017-11-05 02:45	AST	93.86	P	28.609	P
USGS	50076800	2017-11-05 03:00	AST	93.85	P	28.605	P
USGS	50076800	2017-11-05 03:15	AST	93.83	P	28.599	P
USGS	50076800	2017-11-05 03:30	AST	93.84	P	28.602	P
USGS	50076800	2017-11-05 03:45	AST	93.83	P	28.599	P
USGS	50076800	2017-11-05 04:00	AST	93.84	P	28.602	P
USGS	50076800	2017-11-05 04:15	AST	93.86	P	28.609	P
USGS	50076800	2017-11-05 04:30	AST	93.87	P	28.612	P
USGS	50076800	2017-11-05 04:45	AST	93.87	P	28.612	P
USGS	50076800	2017-11-05 05:00	AST	93.86	P	28.609	P
USGS	50076800	2017-11-05 05:15	AST	93.87	P	28.612	P
USGS	50076800	2017-11-05 05:30	AST	93.84	P	28.602	P
USGS	50076800	2017-11-05 05:45	AST	93.84	P	28.602	P
USGS	50076800	2017-11-05 06:00	AST	93.85	P	28.605	P
USGS	50076800	2017-11-05 06:15	AST	93.84	P	28.602	P
USGS	50076800	2017-11-05 06:30	AST	93.84	P	28.602	P
USGS	50076800	2017-11-05 06:45	AST	93.84	P	28.602	P
USGS	50076800	2017-11-05 07:00	AST	93.85	P	28.605	P
USGS	50076800	2017-11-05 07:15	AST	93.86	P	28.609	P
USGS	50076800	2017-11-05 07:30	AST	93.86	P	28.609	P
USGS	50076800	2017-11-05 07:45	AST	93.86	P	28.609	P
USGS	50076800	2017-11-05 08:00	AST	93.88	P	28.615	P
USGS	50076800	2017-11-05 08:15	AST	93.84	P	28.602	P
USGS	50076800	2017-11-05 08:30	AST	93.85	P	28.605	P
USGS	50076800	2017-11-05 08:45	AST	93.84	P	28.602	P
USGS	50076800	2017-11-05 09:00	AST	93.88	P	28.615	P
USGS	50076800	2017-11-05 09:15	AST	93.85	P	28.605	P
USGS	50076800	2017-11-05 09:30	AST	93.83	P	28.599	P
USGS	50076800	2017-11-05 09:45	AST	93.90	P	28.621	P
USGS	50076800	2017-11-05 10:00	AST	93.87	P	28.612	P
USGS	50076800	2017-11-05 10:15	AST	93.84	P	28.602	P
USGS	50076800	2017-11-05 10:30	AST	93.86	P	28.609	P
USGS	50076800	2017-11-05 10:45	AST	93.85	P	28.605	P
USGS	50076800	2017-11-05 11:00	AST	93.85	P	28.605	P
USGS	50076800	2017-11-05 11:15	AST	93.86	P	28.609	P
USGS	50076800	2017-11-05 11:30	AST	93.85	P	28.605	P
USGS	50076800	2017-11-05 11:45	AST	93.88	P	28.615	P
USGS	50076800	2017-11-05 12:00	AST	93.89	P	28.618	P
USGS	50076800	2017-11-05 12:15	AST	93.90	P	28.621	P
USGS	50076800	2017-11-05 12:30	AST	93.88	P	28.615	P
USGS	50076800	2017-11-05 12:45	AST	93.88	P	28.615	P
USGS	50076800	2017-11-05 13:00	AST	93.88	P	28.615	P
USGS	50076800	2017-11-05 13:15	AST	93.89	P	28.618	P
USGS	50076800	2017-11-05 13:30	AST	93.89	P	28.618	P
USGS	50076800	2017-11-05 13:45	AST	93.89	P	28.618	P
USGS	50076800	2017-11-05 14:00	AST	93.93	P	28.630	P
USGS	50076800	2017-11-05 14:15	AST	93.91	P	28.624	P
USGS	50076800	2017-11-05 14:30	AST	93.92	P	28.627	P
USGS	50076800	2017-11-05 14:45	AST	93.93	P	28.630	P
USGS	50076800	2017-11-05 15:00	AST	93.93	P	28.630	P
USGS	50076800	2017-11-05 15:15	AST	93.93	P	28.630	P
USGS	50076800	2017-11-05 15:30	AST	93.94	P	28.633	P
USGS	50076800	2017-11-05 15:45	AST	93.93	P	28.630	P
USGS	50076800	2017-11-05 16:00	AST	93.95	P	28.636	P
USGS	50076800	2017-11-05 16:15	AST	94.01	P	28.654	P
USGS	50076800	2017-11-05 16:30	AST	94.04	P	28.663	P
USGS	50076800	2017-11-05 16:45	AST	94.04	P	28.663	P
USGS	50076800	2017-11-05 17:00	AST	94.05	P	28.666	P
USGS	50076800	2017-11-05 17:15	AST	94.05	P	28.666	P
USGS	50076800	2017-11-05 17:30	AST	94.05	P	28.666	P
USGS	50076800	2017-11-05 17:45	AST	94.07	P	28.673	P
USGS	50076800	2017-11-05 18:00	AST	94.06	P	28.669	P
USGS	50076800	2017-11-05 18:15	AST	94.06	P	28.669	P
USGS	50076800	2017-11-05 18:30	AST	94.09	P	28.679	P
USGS	50076800	2017-11-05 18:45	AST	94.08	P	28.676	P
