# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-11-06 21:58:37 EST       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 50093045 LAGO PATILLAS AT DAMSITE NR PATILLAS, PR
# -----------------------------------------------------------------------------------
#
# Data provided for site 50093045
#            TS   parameter     Description
#        124120       62614     Lake or reservoir water surface elevation above NGVD 1929, feet
#        124121       00045     Precipitation, total, inches
#        124123       45592     Gate opening, height, feet, Gate 1
#        124124       45592     Gate opening, height, feet, Gate 2
#        124125       45592     Gate opening, height, feet, Gate 3
#        124126       62616     Lake or reservoir water surface elevation above NGVD 1929, meters
#
# Data-value qualification codes included in this output:
#        
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	tz_cd	124120_62614	124120_62614_cd	124121_00045	124121_00045_cd	124123_45592	124123_45592_cd	124125_45592	124125_45592_cd	124126_62616	124126_62616_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	50093045	2017-11-05 00:00	AST	210.76	P	0.00	P	0.13	P	0.09	P	64.240	P
USGS	50093045	2017-11-05 00:15	AST	210.79	P	0.00	P	0.13	P	0.09	P	64.249	P
USGS	50093045	2017-11-05 00:30	AST	210.80	P	0.00	P	0.13	P	0.09	P	64.252	P
USGS	50093045	2017-11-05 00:45	AST	210.79	P	0.00	P	0.13	P	0.09	P	64.249	P
USGS	50093045	2017-11-05 01:00	AST	210.80	P	0.00	P	0.13	P	0.09	P	64.252	P
USGS	50093045	2017-11-05 01:15	AST	210.80	P	0.00	P	0.13	P	0.09	P	64.252	P
USGS	50093045	2017-11-05 01:30	AST	210.78	P	0.00	P	0.13	P	0.09	P	64.246	P
USGS	50093045	2017-11-05 01:45	AST	210.80	P	0.00	P	0.13	P	0.09	P	64.252	P
USGS	50093045	2017-11-05 02:00	AST	210.82	P	0.00	P	0.13	P	0.09	P	64.258	P
USGS	50093045	2017-11-05 02:15	AST	210.81	P	0.00	P	0.13	P	0.09	P	64.255	P
USGS	50093045	2017-11-05 02:30	AST	210.83	P	0.00	P	0.13	P	0.09	P	64.261	P
USGS	50093045	2017-11-05 02:45	AST	210.82	P	0.00	P	0.13	P	0.09	P	64.258	P
USGS	50093045	2017-11-05 03:00	AST	210.85	P	0.00	P	0.13	P	0.09	P	64.267	P
USGS	50093045	2017-11-05 03:08	AST	210.85	P	0.00	P					64.267	P
USGS	50093045	2017-11-05 03:15	AST	210.85	P	0.00	P	0.13	P	0.09	P	64.267	P
USGS	50093045	2017-11-05 03:30	AST	210.84	P	0.00	P	0.13	P	0.09	P	64.264	P
USGS	50093045	2017-11-05 03:45	AST	210.87	P	0.00	P	0.13	P	0.09	P	64.273	P
USGS	50093045	2017-11-05 04:00	AST	210.87	P	0.00	P	0.13	P	0.09	P	64.273	P
USGS	50093045	2017-11-05 04:15	AST	210.87	P	0.00	P	0.13	P	0.09	P	64.273	P
USGS	50093045	2017-11-05 04:30	AST	210.86	P	0.00	P	0.13	P	0.09	P	64.270	P
USGS	50093045	2017-11-05 04:45	AST	210.89	P	0.00	P	0.13	P	0.09	P	64.279	P
USGS	50093045	2017-11-05 05:00	AST	210.88	P	0.00	P	0.13	P	0.09	P	64.276	P
USGS	50093045	2017-11-05 05:15	AST	210.88	P	0.00	P	0.13	P	0.09	P	64.276	P
USGS	50093045	2017-11-05 05:30	AST	210.91	P	0.00	P	0.13	P	0.09	P	64.285	P
USGS	50093045	2017-11-05 05:45	AST	210.93	P	0.00	P	0.13	P	0.09	P	64.291	P
USGS	50093045	2017-11-05 06:00	AST	210.93	P	0.00	P	0.13	P	0.09	P	64.291	P
USGS	50093045	2017-11-05 06:15	AST	210.93	P	0.00	P	0.13	P	0.09	P	64.291	P
USGS	50093045	2017-11-05 06:30	AST	210.93	P	0.00	P	0.13	P	0.09	P	64.291	P
USGS	50093045	2017-11-05 06:45	AST	210.94	P	0.00	P	0.13	P	0.09	P	64.295	P
USGS	50093045	2017-11-05 07:00	AST	210.95	P	0.00	P	0.13	P	0.09	P	64.298	P
USGS	50093045	2017-11-05 07:15	AST	210.94	P	0.00	P	0.13	P	0.09	P	64.295	P
USGS	50093045	2017-11-05 07:30	AST	210.95	P	0.00	P	0.13	P	0.09	P	64.298	P
USGS	50093045	2017-11-05 07:45	AST	210.90	P	0.00	P	0.13	P	0.09	P	64.282	P
USGS	50093045	2017-11-05 08:00	AST	210.87	P	0.00	P	0.13	P	0.09	P	64.273	P
USGS	50093045	2017-11-05 08:15	AST	210.88	P	0.00	P	0.13	P	0.09	P	64.276	P
USGS	50093045	2017-11-05 08:30	AST	210.85	P	0.00	P	0.13	P	0.09	P	64.267	P
USGS	50093045	2017-11-05 08:45	AST	210.81	P	0.00	P	0.13	P	0.09	P	64.255	P
USGS	50093045	2017-11-05 09:00	AST	210.76	P	0.00	P	0.13	P	0.09	P	64.240	P
USGS	50093045	2017-11-05 09:15	AST	210.70	P	0.00	P	0.13	P	0.09	P	64.221	P
USGS	50093045	2017-11-05 09:30	AST	210.64	P	0.00	P	0.13	P	0.09	P	64.203	P
USGS	50093045	2017-11-05 09:45	AST	210.60	P	0.00	P	0.13	P	0.09	P	64.191	P
USGS	50093045	2017-11-05 10:00	AST	210.56	P	0.00	P	0.13	P	0.09	P	64.179	P
USGS	50093045	2017-11-05 10:15	AST	210.56	P	0.00	P	0.13	P	0.09	P	64.179	P
USGS	50093045	2017-11-05 10:30	AST	210.53	P	0.00	P	0.13	P	0.09	P	64.170	P
USGS	50093045	2017-11-05 10:45	AST	210.57	P	0.00	P	0.13	P	0.09	P	64.182	P
USGS	50093045	2017-11-05 11:00	AST	210.57	P	0.00	P	0.13	P	0.09	P	64.182	P
USGS	50093045	2017-11-05 11:09	AST	210.58	P	0.00	P					64.185	P
USGS	50093045	2017-11-05 11:15	AST	210.55	P	0.00	P	0.13	P	0.09	P	64.176	P
USGS	50093045	2017-11-05 11:30	AST	210.58	P	0.00	P	0.13	P	0.09	P	64.185	P
USGS	50093045	2017-11-05 11:45	AST	210.58	P	0.00	P	0.13	P	0.09	P	64.185	P
USGS	50093045	2017-11-05 12:00	AST	210.62	P	0.00	P	0.13	P	0.09	P	64.197	P
USGS	50093045	2017-11-05 12:15	AST	210.59	P	0.00	P	0.13	P	0.09	P	64.188	P
USGS	50093045	2017-11-05 12:30	AST	210.58	P	0.00	P	0.13	P	0.09	P	64.185	P
USGS	50093045	2017-11-05 12:45	AST	210.61	P	0.00	P	0.13	P	0.09	P	64.194	P
USGS	50093045	2017-11-05 13:00	AST	210.60	P	0.00	P	0.13	P	0.09	P	64.191	P
USGS	50093045	2017-11-05 13:15	AST	210.63	P	0.00	P	0.13	P	0.09	P	64.200	P
USGS	50093045	2017-11-05 13:30	AST	210.64	P			0.13	P	0.09	P	64.203	P
USGS	50093045	2017-11-05 13:36	AST	210.68	P	0.20	P					64.215	P
USGS	50093045	2017-11-05 13:37	AST	210.68	P	0.00	P					64.215	P
USGS	50093045	2017-11-05 13:45	AST	210.64	P	0.04	P	0.13	P	0.09	P	64.203	P
USGS	50093045	2017-11-05 13:46	AST	210.64	P	0.00	P					64.203	P
USGS	50093045	2017-11-05 13:47	AST	210.64	P	0.00	P					64.203	P
USGS	50093045	2017-11-05 13:52	AST	210.64	P	0.00	P					64.203	P
USGS	50093045	2017-11-05 14:00	AST	210.69	P	0.00	P	0.13	P	0.09	P	64.218	P
USGS	50093045	2017-11-05 14:15	AST	210.68	P	0.02	P	0.13	P	0.09	P	64.215	P
USGS	50093045	2017-11-05 14:21	AST	210.64	P	0.03	P					64.203	P
USGS	50093045	2017-11-05 14:30	AST	210.65	P	0.01	P	0.13	P	0.09	P	64.206	P
USGS	50093045	2017-11-05 14:45	AST	210.64	P	0.00	P	0.13	P	0.09	P	64.203	P
USGS	50093045	2017-11-05 15:00	AST	210.69	P	0.00	P	0.13	P	0.09	P	64.218	P
USGS	50093045	2017-11-05 15:15	AST	210.72	P	0.00	P	0.13	P	0.09	P	64.227	P
USGS	50093045	2017-11-05 15:30	AST	210.67	P	0.00	P	0.13	P	0.09	P	64.212	P
USGS	50093045	2017-11-05 15:45	AST	210.73	P	0.00	P	0.13	P	0.09	P	64.231	P
USGS	50093045	2017-11-05 16:00	AST	210.75	P	0.00	P	0.13	P	0.09	P	64.237	P
USGS	50093045	2017-11-05 16:15	AST	210.73	P	0.00	P	0.13	P	0.09	P	64.231	P
USGS	50093045	2017-11-05 16:30	AST	210.77	P	0.00	P	0.13	P	0.09	P	64.243	P
USGS	50093045	2017-11-05 16:45	AST	210.81	P	0.00	P	0.13	P	0.09	P	64.255	P
USGS	50093045	2017-11-05 16:56	AST	210.84	P	0.14	P					64.264	P
USGS	50093045	2017-11-05 16:57	AST	210.84	P	0.00	P					64.264	P
USGS	50093045	2017-11-05 17:00	AST	210.84	P	0.00	P	0.13	P	0.09	P	64.264	P
USGS	50093045	2017-11-05 17:11	AST	210.87	P	0.04	P					64.273	P
USGS	50093045	2017-11-05 17:15	AST	210.85	P	0.00	P	0.13	P	0.09	P	64.267	P
USGS	50093045	2017-11-05 17:30	AST	210.90	P	0.01	P	0.13	P	0.09	P	64.282	P
USGS	50093045	2017-11-05 17:45	AST	210.92	P	0.00	P	0.13	P	0.09	P	64.288	P
USGS	50093045	2017-11-05 18:00	AST	210.92	P	0.00	P	0.13	P	0.09	P	64.288	P
USGS	50093045	2017-11-05 18:15	AST	210.97	P	0.00	P	0.13	P	0.09	P	64.304	P
USGS	50093045	2017-11-05 18:30	AST	211.02	P	0.00	P	0.13	P	0.09	P	64.319	P
USGS	50093045	2017-11-05 18:45	AST	211.02	P	0.00	P	0.13	P	0.09	P	64.319	P
USGS	50093045	2017-11-05 19:00	AST	211.02	P	0.00	P	0.13	P	0.09	P	64.319	P
USGS	50093045	2017-11-05 19:15	AST	211.04	P	0.00	P	0.13	P	0.09	P	64.325	P
USGS	50093045	2017-11-05 19:30	AST	211.07	P	0.00	P	0.13	P	0.09	P	64.334	P
USGS	50093045	2017-11-05 19:45	AST	211.08	P	0.00	P	0.13	P	0.09	P	64.337	P
USGS	50093045	2017-11-05 20:00	AST	211.12	P	0.00	P	0.13	P	0.09	P	64.349	P
USGS	50093045	2017-11-05 20:15	AST	211.13	P	0.00	P	0.13	P	0.09	P	64.352	P
USGS	50093045	2017-11-05 20:30	AST	211.16	P	0.00	P	0.13	P	0.09	P	64.362	P
