# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-11-06 21:59:27 EST       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 50111210 LAGO TOA VACA AT DAMSITE NR VILLALBA, PR
# -----------------------------------------------------------------------------------
#
# Data provided for site 50111210
#            TS   parameter     Description
#        124182       62616     Lake or reservoir water surface elevation above NGVD 1929, meters
#        124183       45592     Gate opening, height, feet, Gate 1
#        124184       45592     Gate opening, height, feet, Gate 2
#        124185       45592     Gate opening, height, feet, Gate 3
#        124186       62614     Lake or reservoir water surface elevation above NGVD 1929, feet
#        124187       00045     Precipitation, total, inches
#
# Data-value qualification codes included in this output:
#        
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	tz_cd	124182_62616	124182_62616_cd	124183_45592	124183_45592_cd	124184_45592	124184_45592_cd	124185_45592	124185_45592_cd	124186_62614	124186_62614_cd	124187_00045	124187_00045_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	50111210	2017-11-05 00:00	AST	162.212	P	0.01	P	0.00	P	0.00	P	532.19	P	0.00	P
USGS	50111210	2017-11-05 00:15	AST	162.212	P	0.01	P	0.00	P	0.00	P	532.19	P	0.00	P
USGS	50111210	2017-11-05 00:30	AST	162.212	P	0.01	P	0.00	P	0.00	P	532.19	P	0.00	P
USGS	50111210	2017-11-05 00:45	AST	162.212	P	0.01	P	0.00	P	0.00	P	532.19	P	0.00	P
USGS	50111210	2017-11-05 01:00	AST	162.212	P	0.01	P	0.00	P	0.00	P	532.19	P	0.00	P
USGS	50111210	2017-11-05 01:15	AST	162.212	P	0.01	P	0.00	P	0.00	P	532.19	P	0.00	P
USGS	50111210	2017-11-05 01:30	AST	162.212	P	0.01	P	0.00	P	0.00	P	532.19	P	0.00	P
USGS	50111210	2017-11-05 01:45	AST	162.212	P	0.01	P	0.00	P	0.00	P	532.19	P	0.00	P
USGS	50111210	2017-11-05 02:00	AST	162.212	P	0.01	P	0.00	P	0.00	P	532.19	P	0.00	P
USGS	50111210	2017-11-05 02:15	AST	162.212	P	0.01	P	0.00	P	0.00	P	532.19	P	0.00	P
USGS	50111210	2017-11-05 02:30	AST	162.212	P	0.01	P	0.00	P	0.00	P	532.19	P	0.00	P
USGS	50111210	2017-11-05 02:45	AST	162.212	P	0.01	P	0.00	P	0.00	P	532.19	P	0.00	P
USGS	50111210	2017-11-05 03:00	AST	162.212	P	0.01	P	0.00	P	0.00	P	532.19	P	0.00	P
USGS	50111210	2017-11-05 03:15	AST	162.212	P	0.01	P	0.00	P	0.00	P	532.19	P	0.00	P
USGS	50111210	2017-11-05 03:30	AST	162.212	P	0.01	P	0.00	P	0.00	P	532.19	P	0.00	P
USGS	50111210	2017-11-05 03:45	AST	162.212	P	0.01	P	0.00	P	0.00	P	532.19	P	0.00	P
USGS	50111210	2017-11-05 04:00	AST	162.212	P	0.01	P	0.00	P	0.00	P	532.19	P	0.00	P
USGS	50111210	2017-11-05 04:15	AST	162.212	P	0.01	P	0.00	P	0.00	P	532.19	P	0.00	P
USGS	50111210	2017-11-05 04:30	AST	162.212	P	0.01	P	0.00	P	0.00	P	532.19	P	0.00	P
USGS	50111210	2017-11-05 04:45	AST	162.212	P	0.01	P	0.00	P	0.00	P	532.19	P	0.00	P
USGS	50111210	2017-11-05 05:00	AST	162.212	P	0.01	P	0.00	P	0.00	P	532.19	P	0.00	P
USGS	50111210	2017-11-05 05:15	AST	162.212	P	0.01	P	0.00	P	0.00	P	532.19	P	0.00	P
USGS	50111210	2017-11-05 05:30	AST	162.212	P	0.01	P	0.00	P	0.00	P	532.19	P	0.00	P
USGS	50111210	2017-11-05 05:45	AST	162.215	P	0.01	P	0.00	P	0.00	P	532.20	P	0.00	P
