# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-11-06 22:01:49 EST       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 50113950 LAGO CERRILLOS AT DAMSITE NR PONCE, PR
# -----------------------------------------------------------------------------------
#
# Data provided for site 50113950
#            TS   parameter     Description
#        163437       62614     Lake or reservoir water surface elevation above NGVD 1929, feet
#        163438       00045     Precipitation, total, inches
#        163628       62616     Lake or reservoir water surface elevation above NGVD 1929, meters
#
# Data-value qualification codes included in this output:
#        
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	tz_cd	163437_62614	163437_62614_cd	163438_00045	163438_00045_cd	163628_62616	163628_62616_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s
USGS	50113950	2017-11-05 00:00	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 00:02	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 00:07	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 00:12	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 00:15	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 00:17	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 00:21	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 00:26	AST	571.29	P	0.00	P	174.129	P
USGS	50113950	2017-11-05 00:30	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 00:31	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 00:37	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 00:41	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 00:45	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 00:56	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 01:00	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 01:06	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 01:10	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 01:15	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 01:19	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 01:24	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 01:29	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 01:30	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 01:34	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 01:39	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 01:45	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 01:50	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 01:55	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 02:00	AST	571.29	P	0.00	P	174.129	P
USGS	50113950	2017-11-05 02:05	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 02:11	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 02:15	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 02:20	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 02:25	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 02:30	AST	571.29	P	0.00	P	174.129	P
USGS	50113950	2017-11-05 02:31	AST			0.00	P		
USGS	50113950	2017-11-05 02:37	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 02:42	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 02:45	AST	571.29	P	0.00	P	174.129	P
USGS	50113950	2017-11-05 02:47	AST	571.29	P	0.00	P	174.129	P
USGS	50113950	2017-11-05 02:57	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 03:00	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 03:02	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 03:07	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 03:12	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 03:15	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 03:18	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 03:22	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 03:26	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 03:30	AST	571.27	P	0.00	P	174.123	P
USGS	50113950	2017-11-05 03:32	AST	571.27	P	0.00	P	174.123	P
USGS	50113950	2017-11-05 03:38	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 03:43	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 03:45	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 03:48	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 03:53	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 03:59	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 04:00	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 04:04	AST	571.28	P	0.00	P	174.126	P
USGS	50113950	2017-11-05 04:10	AST	571.28	P	0.00	P	174.126	P
